time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontal,depthError,magError,magNst,status,locationSo,magSource
17-Feb-1988,33.547,-81.696,5.9,2.5,mb_lg,,,0.20684,0.3,se,se60751,16:22.9,"2 km SE of Aiken, South Carolina",earthquake,,3.4,,,reviewed,us,us
30-Apr-1988,33.006,-80.146,0.9,1.6,md,,,0.07195,0.3,se,se60775,17:16.8,"0 km E of Lincolnville, South Carolina",earthquake,,1.9,,,reviewed,us,us
21-May-1988,34.294,-82.357,14.2,2.2,md,,282,0.98026,0.2,se,se60784,17:52.5,"5 km SSE of Due West, South Carolina",earthquake,,7.7,,,reviewed,nm,nm
30-May-1988,32.918,-80.221,9.7,1.3,md,,,0.02698,0.1,se,se60790,18:00.2,"9 km SSW of Centerville, South Carolina",earthquake,,1.5,,,reviewed,us,us
9-Jun-1988,34.354,-81.51,1,2.2,md,,345,0.21584,0.2,se,se60792,18:03.5,"12 km NW of Pomaria, South Carolina",earthquake,,,,,reviewed,co,co
15-Jun-1988,34.63,-82.529,1.4,1.4,md,,262,0.67449,0.1,se,se60798,18:12.1,,earthquake,,3.1,,,reviewed,nm,nm
23-Jun-1988,32.973,-80.3,6.2,2,md,,,0.04497,0.3,se,se60803,18:21.7,"12 km WSW of Centerville, South Carolina",earthquake,,5.8,,,reviewed,us,us
5-Aug-1988,33.216,-81.664,2.9,2.2,md,,112,0.07195,0.1,se,se60814,18:44.2,"16 km SE of Jackson, South Carolina",earthquake,,2.8,,,reviewed,co,co
27-Oct-1988,32.857,-80.172,7.6,1,md,,,0.04497,0.3,se,se60842,20:13.3,"9 km NW of Shell Point, South Carolina",earthquake,,3.7,,,reviewed,us,us
30-Nov-1988,32.964,-80.221,9.2,1.6,md,,,0.02698,0.2,se,se60850,20:35.9,"5 km SW of Centerville, South Carolina",earthquake,,1.1,,,reviewed,us,us
13-Dec-1988,32.949,-80.15,5.4,2.4,md,,,0.05396,0.2,se,se60855,20:42.9,"5 km SSE of Centerville, South Carolina",earthquake,,1.1,,,reviewed,us,us
2-Jan-1989,32.936,-80.158,4.9,2.6,md,,,0.04497,0.3,se,se60858,20:47.4,"6 km S of Centerville, South Carolina",earthquake,,1.4,,,reviewed,us,us
4-Jan-1989,32.21,-80.74,6,2.8,md,,,0.6565,0.4,se,se60859,43:11.9,"1 km ESE of Hilton Head, South Carolina",earthquake,,8.5,,,reviewed,us,us
21-Jan-1989,33.391,-80.688,4.3,1.6,md,,,0.00899,0.2,se,se60866,21:01.5,"4 km N of Bowman, South Carolina",earthquake,,1.1,,,reviewed,us,us
18-Feb-1989,34.376,-80.911,25.1,1.3,md,,289,1.33999,0.3,se,se60870,21:28.4,"8 km NNE of Ridgeway, South Carolina",earthquake,,3.2,,,reviewed,nm,nm
15-Mar-1989,32.962,-80.186,7.5,1.1,md,,,0.05396,0.1,se,se60880,21:59.9,"4 km SSW of Centerville, South Carolina",earthquake,,3,,,reviewed,us,us
22-Apr-1989,32.933,-80.172,6.8,0.7,md,,,0.03597,0.2,se,se60890,24:42.0,"6 km S of Centerville, South Carolina",earthquake,,2.2,,,reviewed,us,us
3-May-1989,33.068,-80.135,26.5,0.7,md,,,0.05396,0.2,se,se60894,24:52.7,"3 km N of Sangaree, South Carolina",earthquake,,5.5,,,reviewed,us,us
3-May-1989,33.108,-80.142,16.2,1.4,md,,,0.03597,0.3,se,se60895,24:54.3,"8 km N of Sangaree, South Carolina",earthquake,,9.9,,,reviewed,us,us
2-Jun-1989,32.934,-80.166,5.8,2,md,,,0.03597,0.2,se,se60905,25:08.5,"6 km S of Centerville, South Carolina",earthquake,,1,,,reviewed,us,us
6-Jun-1989,32.942,-80.149,2,0.9,md,,,0.04497,0.1,se,se60907,25:15.9,"6 km SW of Ladson, South Carolina",earthquake,,8.4,,,reviewed,us,us
8-Jun-1989,32.926,-80.163,6.1,1.6,md,,,0.03597,0.2,se,se60910,22:07.0,"7 km S of Centerville, South Carolina",earthquake,,0.9,,,reviewed,us,us
25-Sep-1989,34.978,-83.015,22.5,1.8,md,,223,0.6655,0.2,se,se60951,26:45.8,"10 km NNW of Salem, South Carolina",earthquake,,15,,,reviewed,nm,nm
20-Oct-1989,32.955,-80.16,4.8,0.9,md,,,0.05396,0.1,se,se60961,27:12.0,"4 km SSE of Centerville, South Carolina",earthquake,,9,,,reviewed,us,us
2-Nov-1989,32.905,-80.194,6,1,md,,,,0.2,se,se60964,27:20.9,"10 km SSW of Centerville, South Carolina",earthquake,,2.6,,,reviewed,us,us
7-Jan-1990,32.968,-80.218,5.4,2.1,md,,,0.02698,0.3,se,se60976,28:02.9,"5 km SW of Centerville, South Carolina",earthquake,,2,,,reviewed,us,us
7-Feb-1990,32.908,-80.163,9.3,2.9,mb_lg,,,0.01799,0.1,se,se60985,28:24.2,"9 km S of Centerville, South Carolina",earthquake,,0.6,,,reviewed,us,us
18-Feb-1990,32.961,-80.175,1.9,2.1,md,,,0.05396,0.2,se,se60991,28:43.1,"3 km S of Centerville, South Carolina",earthquake,,1.5,,,reviewed,us,us
